yc,ys
0.41438511,1
0.281183293,1
0.990750052,1
0.242692056,1
0.817341196,1
0.471136095,1
0.447854501,1
0.434251849,1
0.473203004,1
0.471136095,1
0.516306875,1
0.638855012,1
0.561825853,1
0.799422587,1
0.467671539,1
0.121866823,1
0.585634654,1
0.365232911,1
0.491389324,1
0.549005704,1
0.904656084,1
0.8838339,1
0.491262274,1
0.511790013,1
0.597708079,1
0.478631622,1
0.747915123,1
0.51283225,1
0.57645903,1
0.489299316,1
0.506685242,1
0.494031127,1
0.627317816,1
0.51283225,1
0.54056644,1
0.856008324,1
0.48164262,1
0.525307524,1
0.81255479,1
0.985864778,1
0.54056644,1
0.847876603,1
0.409380073,1
0.530186273,1
0.498216576,1
0.490554375,1
0.334045869,1
0.580345491,1
0.6573677,1
0.495447236,1
0.552250317,1
0.275327339,1
0.914214757,1
0.568758272,1
0.657455646,1
0.199854062,1
0.467671539,1
0.471136095,1
0.605936009,1
0.267341763,1
0.442127501,1
0.800075011,1
0.201576316,1
0.523251063,1
0.511331251,1
0.497173728,1
0.509356385,1
0.48501882,1
0.502067545,1
0.900622615,1
0.478073223,1
0.592906863,1
0.519779924,1
0.760760038,1
0.585755274,1
0.822896184,1
0.45739479,1
0.705608812,1
0.302252339,1
0.484311353,1
0.48501882,1
0.314436229,1
0.48501882,1
0.498924703,1
0.377046421,1
0.396201076,1
0.613793552,1
0.550210635,1
0.741951716,1
0.467671539,1
0.36956209,1
0.467671539,1
0.948139843,1
0.802739672,1
0.474603434,1
0.189122003,1
0.489672547,1
0.251136116,1
0.505171568,1
0.487786223,1
0.571827227,1
0.465383404,1
0.398198647,1
0.233079281,1
0.516306875,1
0.821967206,1
0.467671539,1
0.474603434,1
0.634455833,1
0.72606469,1
0.575680906,1
0.467671539,1
0.601202401,1
0.842414064,1
0.396841876,1
0.537109845,1
0.500986026,1
0.471136095,1
0.881495492,1
0.502402275,1
0.984643556,1
0.867078638,1
0.791482449,1
0.409699845,1
0.509356385,1
0.495447236,1
0.738991511,1
0.498924703,1
0.509356385,1
0.279485291,1
0.866203638,1
0.471939239,1
0.504013718,1
0.359893363,1
0.490681418,1
0.517916498,1
0.25520258,1
0.571461497,1
0.44073067,1
0.436766068,1
0.54942477,1
0.520584367,1
0.437559097,1
0.522544415,1
0.474603434,1
0.789882189,1
0.934614267,1
0.595124036,1
0.71977805,1
0.29442261,1
0.794398545,1
0.937247074,1
0.392785072,1
0.271914759,1
0.37846982,1
0.467671539,1
0.331620324,1
0.412821716,1
0.651806177,1
0.382524916,1
0.383269977,1
0.924442729,1
0.453145749,1
0.65002137,1
0.604962854,1
0.509356385,1
0.304047453,1
0.467671539,1
0.48501882,1
0.467671539,1
0.48289661,1
0.458194804,1
0.471136095,1
0.46014541,1
0.651806177,1
0.467063628,1
0.491970209,1
0.482015523,1
0.522917039,1
0.488159403,1
0.810137262,1
0.506685242,1
0.560970124,1
0.309755589,1
0.373462793,1
0.389435605,1
0.432651742,1
0.90110306,1
0.528479823,1
0.473897178,1
0.357778135,1
0.356309389,1
0.419048239,1
0.259247647,1
0.507970001,1
0.35765289,1
0.420187959,1
0.467671539,1
0.871336191,1
0.861461098,1
0.471136095,1
0.85928452,1
0.522458977,1
0.438987767,1
0.478073223,1
0.664325304,1
0.51283225,1
0.506685242,1
0.514903988,1
0.977422416,1
0.349908329,1
0.259336054,1
0.899793408,1
0.840358347,1
0.668048593,1
0.744680262,1
0.502499895,1
0.118587316,1
0.462468509,1
0.332914044,1
0.436862131,1
0.558494829,1
0.466966431,1
0.221360233,1
0.808256573,1
0.380003759,1
0.447610884,1
0.474357767,1
0.598388982,1
0.407461756,1
0.511416817,1
0.761426106,1
0.807723668,1
0.315966347,1
0.687422414,1
0.51748468,1
0.630053869,1
0.348578133,1
0.754709565,1
0.435664995,1
0.387243063,1
0.492775776,1
0.439493114,1
0.362252727,1
0.216133819,1
0.311084938,1
0.483603949,1
0.66733347,1
0.937019321,1
0.554350572,1
0.468934024,1
0.128224518,1
0.359459443,1
0.612131925,1
0.384273005,1
0.439948226,1
0.323827873,1
0.3002349,1
0.487786223,1
0.394869982,1
0.53456903,1
0.38503588,1
0.401980747,1
0.498216576,1
0.565002376,1
0.444320869,1
0.429934585,1
0.15279957,1
0.367725362,1
0.48501882,1
0.455892285,1
0.677055513,1
0.27162644,1
0.471939239,1
0.996850964,1
0.484311353,1
0.210621444,1
0.2430229,1
0.733589796,1
0.557117494,1
0.484311353,1
0.386804816,1
0.686433419,1
0.526934853,1
0.48154513,1
0.447279845,1
0.250587857,1
0.952934395,1
0.449700996,1
0.174490405,1
0.498924703,1
0.526474345,1
0.806980386,1
0.93421043,1
0.790806574,1
0.448894037,1
0.48154513,1
0.507940543,1
0.956580281,1
0.467671539,1
0.471136095,1
0.966568719,1
0.058110074,1
0.575241337,1
0.392558882,1
0.867815591,1
0.449466291,1
0.454402494,1
0.999529964,1
